# frequency_THz	|SZmin(2),Zmax(2)|^2
260.4	5.289999999999998e-130
260.5	0.0
260.6	5.290000000000002e-130
260.8	5.289999999999998e-130
261.0	5.2899999999999996e-130
261.20000000000005	5.289999999999998e-130
261.4	5.2899999999999996e-130
261.6	5.759999999999998e-130
261.8	5.759999999999994e-130
262.0	5.759999999999997e-130
262.20000000000005	5.760000000000001e-130
262.4	5.760000000000005e-130
262.6	0.0
262.8	5.759999999999998e-130
263.0	5.759999999999998e-130
263.20000000000005	5.759999999999997e-130
263.4	5.759999999999998e-130
263.6	5.760000000000003e-130
263.8	5.759999999999998e-130
264.0	5.760000000000001e-130
264.20000000000005	5.760000000000001e-130
264.4	5.760000000000003e-130
264.6	5.759999999999997e-130
264.8	6.250000000000002e-130
265.0	6.2499999999999995e-130
265.20000000000005	6.250000000000002e-130
265.4	6.2500000000000035e-130
265.6	6.2499999999999995e-130
265.8	6.250000000000002e-130
266.0	6.2499999999999955e-130
266.20000000000005	6.250000000000006e-130
266.4	6.2499999999999995e-130
266.6	6.250000000000002e-130
266.79999999999995	0.0
267.0	6.2500000000000035e-130
267.20000000000005	6.249999999999997e-130
267.4	6.2499999999999995e-130
267.6	6.250000000000002e-130
267.8	6.250000000000002e-130
268.0	6.759999999999996e-130
268.20000000000005	6.7600000000000024e-130
268.4	6.760000000000005e-130
268.6	6.760000000000001e-130
268.8	6.7599999999999984e-130
268.8999999999999	0.0
269.0	6.760000000000001e-130
269.20000000000005	6.7600000000000024e-130
269.4	6.7600000000000024e-130
269.6	6.7599999999999984e-130
269.8	6.760000000000005e-130
270.0	7.289999999999997e-130
270.20000000000005	7.290000000000002e-130
270.4	7.290000000000004e-130
270.6	7.289999999999999e-130
270.8	7.290000000000002e-130
270.99999999999994	0.0
271.20000000000005	7.289999999999999e-130
271.4	7.290000000000002e-130
271.6	7.290000000000002e-130
271.8	7.290000000000005e-130
272.0	7.289999999999997e-130
272.20000000000005	7.290000000000002e-130
272.4	7.290000000000004e-130
272.6	7.290000000000004e-130
272.8	7.290000000000004e-130
273.0	7.289999999999999e-130
273.20000000000005	7.840000000000002e-130
273.4	7.839999999999997e-130
273.6	7.840000000000005e-130
273.8	7.84000000000001e-130
274.0	7.840000000000002e-130
274.20000000000005	7.840000000000005e-130
274.4	7.840000000000005e-130
274.6	7.840000000000007e-130
274.8	7.840000000000002e-130
275.0	7.84e-130
275.19999999999993	0.0
275.4	7.839999999999995e-130
275.6	7.840000000000005e-130
275.8	7.84e-130
276.0	7.84e-130
276.20000000000005	7.839999999999997e-130
276.4	8.410000000000008e-130
276.6	8.409999999999997e-130
276.8	8.410000000000007e-130
277.0	8.410000000000002e-130
277.20000000000005	8.410000000000002e-130
277.29999999999995	0.0
277.4	8.410000000000003e-130
277.6	8.410000000000003e-130
277.8	8.410000000000003e-130
278.0	8.409999999999999e-130
278.20000000000005	8.410000000000003e-130
278.4	9.000000000000003e-130
278.6	9.000000000000003e-130
278.8	9e-130
279.0	9e-130
279.20000000000005	9.000000000000008e-130
279.3999999999999	0.0
279.6	9.00000000000001e-130
279.8	9e-130
280.0	9e-130
280.20000000000005	9.000000000000005e-130
280.4	9.000000000000008e-130
280.6	9.609999999999998e-130
280.8	9.609999999999998e-130
281.0	9.610000000000003e-130
281.20000000000005	9.610000000000003e-130
281.4	9.610000000000001e-130
